Index,Height(Inches),Weight(Pounds),Height(cm),Weight(kilos)
5037,68,130,174,59
5038,66,124,168,56
5039,64,101,161,46
5040,68,118,172,54
5041,65,110,166,50
5042,68,131,172,60
5043,67,125,171,57
5044,65,132,165,60
5045,68,116,172,53
5046,66,98,168,45
5047,71,128,180,58
5048,69,134,176,61
5049,68,124,172,56
5050,69,125,176,57
5051,67,135,170,61
5052,68,122,173,55
5053,64,117,162,53
5054,66,120,167,54
5055,70,124,178,56
5056,64,116,162,53
5057,69,122,175,55
5058,64,127,163,58
5059,67,112,171,51
5060,69,132,175,60
5061,67,132,170,60
5062,69,119,175,54
5063,70,139,178,63
5064,71,133,180,60
5065,67,117,170,53
5066,70,122,177,55
5067,68,129,174,58
5068,68,130,173,59
5069,64,109,164,49
5070,68,110,172,50
5071,66,126,167,57
5072,66,131,168,59
5073,65,131,166,59
5074,69,123,176,56
5075,65,111,166,50
5076,71,151,179,69
5077,68,127,172,58
5078,66,115,167,52
5079,66,131,168,59
5080,64,117,163,53
5081,69,127,175,58
5082,67,130,170,59
5083,69,110,174,50
5084,66,120,168,54
5085,71,132,181,60
5086,66,119,168,54
5087,71,137,180,62
5088,66,114,167,52
5089,66,119,169,54
5090,69,145,174,66
5091,68,131,173,59
5092,70,145,177,66
5093,71,131,181,59
5094,69,139,174,63
5095,64,130,162,59
5096,70,124,177,56
5097,64,120,162,54
5098,69,110,176,50
5099,69,128,175,58
5100,66,143,168,65
5101,73,157,186,71
5102,66,139,167,63
5103,70,128,178,58
5104,70,130,178,59
5105,68,119,172,54
5106,67,116,171,52
5107,69,128,175,58
5108,69,136,174,62
5109,70,117,179,53
5110,67,131,170,60
5111,68,115,172,52
5112,68,116,172,53
5113,64,117,163,53
5114,68,139,172,63
5115,67,126,170,57
5116,69,146,175,66
5117,69,129,175,58
5118,68,142,172,64
5119,69,139,176,63
5120,66,122,167,55
5121,66,119,169,54
5122,70,137,178,62
5123,69,125,176,57
5124,68,129,173,59
5125,70,125,177,56
5126,70,133,178,60
5127,65,110,164,50
5128,67,132,171,60
5129,67,121,169,55
5130,67,135,170,61
5131,67,131,169,60
5132,68,135,172,61
5133,68,121,174,55
5134,71,146,182,66
5135,68,131,172,59
5136,69,124,176,56
5137,66,106,169,48
5138,69,147,175,67
5139,67,128,169,58
5140,69,116,175,53
5141,66,129,167,58
5142,70,124,177,56
5143,72,131,182,59
5144,65,133,166,60
5145,68,123,173,56
5146,71,129,179,58
5147,69,147,176,67
5148,65,125,166,57
5149,70,136,177,62
5150,70,149,177,68
5151,68,130,172,59
5152,65,116,166,52
5153,68,123,173,56
5154,68,131,172,59
5155,66,110,169,50
5156,71,148,180,67
5157,68,135,172,61
5158,70,132,178,60
5159,65,125,165,57
5160,68,140,173,63
5161,70,128,177,58
5162,66,130,168,59
5163,69,128,175,58
5164,66,137,169,62
5165,69,131,175,59
5166,68,136,172,62
5167,67,125,171,57
5168,68,124,172,56
5169,68,120,172,54
5170,69,120,175,54
5171,67,104,169,47
5172,70,141,178,64
5173,71,134,180,61
5174,68,130,173,59
5175,66,121,167,55
5176,67,116,170,53
5177,68,129,172,59
5178,70,140,177,64
5179,65,115,166,52
5180,71,118,179,53
5181,67,122,169,55
5182,69,146,175,66
5183,69,143,174,65
5184,68,137,172,62
5185,66,108,167,49
5186,68,127,173,57
5187,67,129,171,58
5188,65,130,166,59
5189,68,126,174,57
5190,70,119,179,54
5191,65,112,166,51
5192,69,130,175,59
5193,66,116,168,53
5194,69,143,175,65
5195,68,124,173,56
5196,66,118,168,54
5197,66,138,167,63
5198,67,111,171,51
5199,69,105,176,48
5200,69,129,175,59
5201,68,120,172,55
5202,68,121,174,55
5203,68,124,174,56
5204,70,140,177,64
5205,65,119,166,54
5206,70,139,177,63
5207,64,116,163,53
5208,69,128,175,58
5209,65,120,165,54
5210,69,136,176,62
5211,67,121,169,55
5212,69,143,175,65
5213,73,147,185,67
5214,66,114,167,52
5215,67,119,171,54
5216,68,129,172,59
5217,67,110,171,50
5218,69,133,174,60
5219,67,121,171,55
5220,71,134,181,61
5221,67,114,170,51
5222,70,145,178,66
5223,68,111,172,51
5224,68,131,172,59
5225,68,125,173,57
5226,71,136,182,62
5227,66,134,168,61
5228,70,148,179,67
5229,70,119,177,54
5230,68,130,173,59
5231,67,118,171,53
5232,70,131,178,59
5233,71,140,180,63
5234,65,99,165,45
5235,68,123,172,56
5236,67,113,170,51
5237,67,115,170,52
5238,68,124,172,56
5239,67,113,170,51
5240,66,119,168,54
5241,66,116,168,53
5242,70,141,179,64
5243,67,113,169,51
5244,68,121,172,55
5245,71,145,180,66
5246,71,120,180,55
5247,63,101,159,46
5248,68,136,172,62
5249,67,122,171,55
5250,67,125,171,57
5251,66,128,167,58
5252,67,138,169,62
5253,66,104,167,47
5254,68,141,173,64
5255,67,115,170,52
5256,69,129,176,58
5257,66,123,169,56
5258,69,130,176,59
5259,69,134,175,61
5260,69,139,176,63
5261,70,135,178,61
5262,68,137,173,62
5263,68,113,173,51
5264,67,113,169,51
5265,67,131,170,60
5266,71,146,179,66
5267,71,143,180,65
5268,68,136,173,62
5269,69,134,174,61
5270,70,135,177,61
5271,67,119,171,54
5272,68,107,172,48
5273,66,124,168,56
5274,71,143,179,65
5275,65,118,166,54
5276,66,121,168,55
5277,68,136,172,62
5278,69,114,176,52
5279,66,125,168,57
5280,68,134,173,61
5281,69,144,177,65
5282,67,123,171,56
5283,66,128,169,58
5284,69,120,174,54
5285,70,158,178,72
5286,65,102,166,46
5287,66,126,169,57
5288,66,113,167,51
5289,69,114,176,52
5290,66,121,168,55
5291,69,110,174,50
5292,64,130,163,59
5293,69,129,176,59
5294,67,126,170,57
5295,64,110,163,50
5296,68,135,172,61
5297,68,147,172,67
5298,66,122,168,55
5299,68,119,172,54
5300,67,112,171,51
5301,66,123,169,56
5302,66,121,168,55
5303,70,123,177,56
5304,67,123,170,56
5305,72,133,182,60
5306,67,127,170,57
5307,73,135,185,61
5308,70,151,179,69
5309,70,151,178,68
5310,69,140,176,64
5311,70,133,179,60
5312,70,145,177,66
5313,71,129,181,59
5314,67,117,170,53
5315,67,125,170,57
5316,68,125,172,57
5317,67,104,171,47
5318,69,122,174,56
5319,66,136,169,62
5320,69,126,175,57
5321,68,127,171,58
5322,69,145,175,66
5323,69,149,175,67
5324,67,136,169,62
5325,69,115,174,52
5326,68,115,174,52
5327,68,128,172,58
5328,66,122,168,55
5329,69,125,176,57
5330,67,121,171,55
5331,68,117,172,53
5332,67,116,170,52
5333,69,130,174,59
5334,67,136,170,62
5335,69,140,176,64
5336,65,133,166,60
5337,66,127,169,58
5338,68,122,172,55
5339,67,108,171,49
5340,69,139,176,63
5341,68,123,172,56
5342,69,127,176,58
5343,67,131,169,59
5344,68,127,174,58
5345,71,142,180,65
5346,66,110,168,50
5347,70,142,178,65
5348,65,120,166,54
5349,69,140,176,63
5350,67,125,169,57
5351,71,145,180,66
5352,68,117,172,53
5353,67,134,171,61
5354,70,149,177,68
5355,71,134,180,61
5356,68,134,172,61
5357,69,130,175,59
5358,68,128,172,58
5359,66,130,168,59
5360,67,123,170,56
5361,71,143,181,65
5362,70,144,178,65
5363,68,129,173,59
5364,70,133,178,60
5365,69,138,176,63
5366,65,120,165,55
5367,67,87,169,39
5368,69,136,176,62
5369,67,128,171,58
5370,70,138,178,63
5371,68,129,173,59
5372,71,147,179,67
5373,73,156,185,71
5374,66,114,166,52
5375,70,118,177,54
5376,68,122,174,55
5377,69,132,176,60
5378,70,133,178,60
5379,71,121,180,55
5380,64,105,163,48
5381,67,116,171,52
5382,70,133,178,60
5383,69,143,175,65
5384,71,133,180,60
5385,70,140,177,64
5386,66,135,169,61
5387,68,128,173,58
5388,66,135,169,61
5389,70,123,178,56
5390,72,137,182,62
5391,67,123,170,56
5392,67,124,170,56
5393,69,126,176,57
5394,69,126,175,57
5395,71,166,180,75
5396,71,132,181,60
5397,69,134,176,61
5398,68,132,172,60
5399,69,129,176,59
5400,69,133,174,60
5401,69,121,174,55
5402,66,100,168,46
5403,66,113,168,51
5404,70,135,177,61
5405,69,122,175,55
5406,70,150,178,68
5407,65,119,166,54
5408,67,124,169,56
5409,65,129,166,59
5410,68,115,174,52
5411,70,130,178,59
5412,68,135,173,61
5413,67,126,170,57
5414,66,110,168,50
5415,69,136,176,62
5416,67,132,171,60
5417,69,136,175,62
5418,71,136,180,62
5419,69,128,176,58
5420,68,119,172,54
5421,68,133,172,60
5422,67,124,171,56
5423,65,101,165,46
5424,69,112,176,51
5425,66,130,168,59
5426,68,123,172,56
5427,68,116,174,53
5428,66,104,168,47
5429,71,119,179,54
5430,67,117,169,53
5431,71,149,180,68
5432,68,120,172,54
5433,69,117,176,53
5434,66,126,168,57
5435,69,124,175,56
5436,69,134,175,61
5437,70,131,178,60
5438,72,147,182,67
5439,66,103,167,47
5440,64,120,162,54
5441,67,122,170,55
5442,67,132,171,60
5443,67,112,171,51
5444,71,129,179,58
5445,68,122,174,55
5446,66,106,168,48
5447,65,126,165,57
5448,68,133,173,60
5449,66,126,168,57
5450,64,123,163,56
5451,69,132,176,60
5452,71,123,179,56
5453,63,93,161,42
5454,67,113,171,51
5455,70,118,177,54
5456,69,131,175,59
5457,70,137,177,62
5458,68,143,173,65
5459,70,137,178,62
5460,71,143,179,65
5461,66,123,169,56
5462,64,119,163,54
5463,65,110,166,50
5464,69,139,176,63
5465,68,125,172,57
5466,70,124,177,56
5467,64,93,162,42
5468,69,124,175,56
5469,69,127,176,58
5470,67,122,170,55
5471,71,140,180,63
5472,69,123,174,56
5473,66,113,167,51
5474,68,120,172,54
5475,65,103,166,46
5476,69,129,175,58
5477,70,132,177,60
5478,67,129,169,58
5479,70,127,177,58
5480,69,120,174,54
5481,68,114,172,52
5482,69,120,175,54
5483,68,135,173,61
5484,63,110,160,50
5485,67,123,171,56
5486,71,131,181,60
5487,71,139,180,63
5488,70,143,178,65
5489,67,121,171,55
5490,69,130,175,59
5491,67,121,170,55
5492,71,132,179,60
5493,70,141,177,64
5494,67,122,170,55
5495,69,116,174,52
5496,66,121,169,55
5497,70,125,177,57
5498,68,125,173,57
5499,67,118,170,54
5500,71,144,180,65
5501,66,127,168,57
5502,68,115,173,52
5503,67,112,169,51
5504,69,138,175,62
5505,69,132,174,60
5506,69,115,175,52
5507,68,123,173,56
5508,69,111,174,51
5509,68,121,173,55
5510,66,123,167,56
5511,69,125,174,57
5512,69,119,175,54
5513,66,121,167,55
5514,68,127,173,58
5515,69,103,176,47
5516,71,122,180,55
5517,69,119,175,54
5518,70,130,177,59
5519,67,127,171,58
5520,71,155,181,70
5521,70,130,177,59
5522,69,117,175,53
5523,69,144,174,65
5524,67,127,170,57
5525,67,111,170,50
5526,68,112,172,51
5527,70,139,179,63
5528,68,143,172,65
5529,70,143,177,65
5530,67,125,171,57
5531,67,109,171,49
5532,69,133,175,60
5533,68,128,172,58
5534,65,111,164,50
5535,68,134,173,61
5536,68,124,172,56
5537,64,102,163,46
5538,65,112,165,51
5539,73,138,186,63
5540,65,114,165,52
5541,67,133,171,60
5542,66,118,167,54
5543,71,146,180,66
5544,68,126,172,57
5545,67,117,170,53
5546,68,114,173,52
5547,68,149,173,68
5548,69,111,174,50
5549,68,120,172,54
5550,67,123,171,56
5551,68,135,172,61
5552,69,139,174,63
5553,68,128,173,58
5554,67,119,171,54
5555,68,128,174,58
5556,70,126,177,57
5557,70,127,177,58
5558,70,152,177,69
5559,70,137,178,62
5560,69,120,175,54
5561,67,122,169,55
5562,69,136,174,62
5563,68,136,172,62
5564,67,124,171,56
5565,67,108,170,49
5566,65,136,166,61
5567,69,130,175,59
5568,67,108,171,49
5569,70,151,179,68
5570,67,139,169,63
5571,64,115,164,52
5572,67,112,171,51
5573,70,157,177,71
5574,68,128,174,58
5575,68,131,173,60
5576,71,135,180,61
5577,71,123,179,56
5578,70,118,178,53
5579,66,101,168,46
5580,68,116,172,53
5581,69,127,176,58
5582,69,140,176,63
5583,67,133,171,60
5584,66,111,168,50
5585,67,115,171,52
5586,69,122,174,55
5587,72,157,184,71
5588,67,129,171,58
5589,66,123,167,56
5590,66,132,167,60
5591,67,134,171,61
5592,67,112,170,51
5593,67,123,171,56
5594,66,109,169,50
5595,69,123,176,56
5596,70,150,178,68
5597,70,141,177,64
5598,67,140,170,63
5599,66,115,166,52
5600,73,128,186,58
5601,65,126,166,57
5602,72,142,183,65
5603,68,121,172,55
5604,71,149,181,68
5605,70,139,177,63
5606,68,116,174,53
5607,69,135,174,61
5608,69,146,176,66
5609,66,132,168,60
5610,68,137,172,62
5611,66,108,168,49
5612,65,124,164,56
5613,69,112,175,51
5614,70,130,178,59
5615,65,127,166,57
5616,67,131,170,59
5617,72,154,183,70
5618,68,131,174,59
5619,65,114,166,52
5620,71,127,180,58
5621,69,126,176,57
5622,68,125,173,57
5623,68,118,172,53
5624,69,126,176,57
5625,66,112,167,51
5626,70,152,178,69
5627,68,124,172,56
5628,69,131,175,59
5629,66,119,167,54
5630,72,133,184,60
5631,68,129,173,59
5632,70,130,177,59
5633,69,132,175,60
5634,70,118,177,53
5635,68,109,173,49
5636,67,127,170,58
5637,67,122,170,56
5638,66,119,168,54
5639,67,125,171,57
5640,68,122,172,55
5641,67,121,170,55
5642,61,106,155,48
5643,66,108,168,49
5644,66,122,167,55
5645,69,117,175,53
5646,68,141,173,64
5647,70,149,179,68
5648,65,126,165,57
5649,66,131,166,60
5650,69,121,174,55
5651,67,123,169,56
5652,67,143,170,65
5653,68,123,174,56
5654,68,118,172,54
5655,71,134,181,61
5656,66,116,168,53
5657,68,118,172,53
5658,71,133,179,60
5659,66,111,167,50
5660,68,135,172,61
5661,70,143,179,65
5662,67,129,171,58
5663,68,127,172,58
5664,67,115,171,52
5665,68,136,173,62
5666,70,140,178,63
5667,68,133,172,60
5668,64,132,163,60
5669,66,110,167,50
5670,72,138,184,63
5671,68,133,174,60
5672,69,126,175,57
5673,67,134,170,61
5674,68,137,173,62
5675,69,136,176,62
5676,66,131,167,59
5677,69,134,176,61
5678,69,133,175,60
5679,67,110,169,50
5680,67,133,170,60
5681,71,127,181,58
5682,68,124,173,56
5683,69,147,177,66
5684,70,141,178,64
5685,68,133,172,60
5686,68,138,172,63
5687,69,138,176,62
5688,68,137,173,62
5689,70,149,177,68
5690,70,138,178,63
5691,69,114,175,51
5692,69,131,175,59
5693,69,126,175,57
5694,69,114,175,52
5695,68,119,173,54
5696,65,114,165,52
5697,68,124,174,56
5698,68,136,174,62
5699,68,98,174,44
5700,68,130,172,59
5701,67,138,169,63
5702,66,125,168,57
5703,68,119,173,54
5704,68,110,174,50
5705,66,120,169,54
5706,63,87,160,39
5707,69,143,175,65
5708,70,136,179,61
5709,65,130,166,59
5710,70,142,178,64
5711,73,125,184,57
5712,69,132,175,60
5713,70,129,178,59
5714,67,108,169,49
5715,70,139,178,63
5716,69,145,175,66
5717,65,126,166,57
5718,71,126,180,57
5719,65,119,166,54
5720,68,123,172,56
5721,69,129,176,59
5722,69,142,176,64
5723,64,109,162,49
5724,68,118,173,54
5725,70,141,178,64
5726,70,137,178,62
5727,66,105,168,48
5728,71,128,181,58
5729,67,134,169,61
5730,67,141,170,64
5731,70,128,178,58
5732,66,111,167,50
5733,68,112,173,51
5734,65,118,165,53
5735,67,134,170,61
5736,67,120,171,54
5737,64,116,163,53
5738,69,131,176,59
5739,68,121,172,55
5740,66,122,166,55
5741,71,130,181,59
5742,67,127,171,58
5743,65,116,166,53
5744,68,127,173,58
5745,67,135,169,61
5746,68,131,173,60
5747,67,117,171,53
5748,69,117,175,53
5749,69,127,174,58
5750,65,115,164,52
5751,66,114,168,52
5752,70,132,177,60
5753,69,137,174,62
5754,71,135,181,61
5755,67,137,171,62
5756,65,113,165,51
5757,68,111,171,51
5758,71,138,180,63
5759,67,127,170,58
5760,67,136,171,62
5761,69,129,176,58
5762,69,140,176,63
5763,65,101,165,46
5764,68,133,172,60
5765,69,134,176,61
5766,68,139,172,63
5767,73,157,187,71
5768,68,128,173,58
5769,66,125,167,57
5770,69,133,175,60
5771,70,135,177,61
5772,71,114,179,52
5773,67,115,171,52
5774,69,133,175,60
5775,68,133,173,60
5776,67,137,170,62
5777,68,118,173,54
5778,72,133,183,60
5779,68,127,173,58
5780,67,133,171,60
5781,71,152,180,69
5782,68,131,173,60
5783,68,117,172,53
5784,67,130,170,59
5785,69,122,174,55
5786,69,119,174,54
5787,71,136,179,62
5788,65,101,164,46
5789,70,140,178,63
5790,65,123,166,56
5791,71,143,179,65
5792,70,120,178,54
5793,69,130,176,59
5794,69,143,175,65
5795,70,150,177,68
5796,68,125,173,57
5797,67,133,169,60
5798,67,109,169,49
5799,69,108,175,49
5800,67,114,170,52
5801,69,125,176,57
5802,69,136,176,62
5803,66,125,168,57
5804,66,121,166,55
5805,66,124,166,56
5806,67,132,170,60
5807,70,131,178,59
5808,66,123,168,56
5809,68,125,174,57
5810,70,135,177,61
5811,68,135,172,61
5812,66,128,169,58
5813,68,118,172,53
5814,66,121,168,55
5815,67,122,171,55
5816,69,121,176,55
5817,66,124,168,56
5818,66,114,167,52
5819,71,146,180,66
5820,69,124,174,56
5821,69,106,174,48
5822,67,115,170,52
5823,68,117,173,53
5824,70,137,179,62
5825,66,121,169,55
5826,70,139,177,63
5827,68,138,173,63
5828,69,129,175,58
5829,67,141,171,64
5830,68,144,174,65
5831,67,128,169,58
5832,69,127,175,58
5833,69,131,176,60
5834,67,125,169,57
5835,67,123,170,56
5836,69,146,175,66
5837,65,114,164,52
5838,69,143,175,65
5839,69,133,175,61
5840,67,113,169,51
5841,68,106,174,48
5842,62,92,158,42
5843,69,129,175,59
5844,72,129,182,59
5845,66,110,168,50
5846,70,132,177,60
5847,67,140,171,63
5848,67,112,171,51
5849,67,135,171,61
5850,70,135,178,61
5851,68,132,172,60
5852,69,123,176,56
5853,68,127,174,58
5854,72,135,182,61
5855,66,125,168,57
5856,67,111,170,50
5857,68,133,173,60
5858,70,148,179,67
5859,67,129,170,59
5860,64,123,164,56
5861,68,129,172,58
5862,68,126,173,57
5863,70,124,177,56
5864,67,116,171,53
5865,66,116,167,53
5866,70,125,177,57
5867,64,118,162,53
5868,67,117,170,53
5869,67,145,171,66
5870,65,146,165,66
5871,69,123,176,56
5872,66,119,168,54
5873,69,122,174,55
5874,69,162,176,73
5875,69,123,174,56
5876,71,133,179,60
5877,68,127,172,57
5878,69,131,175,59
5879,67,121,170,55
5880,67,127,171,58
5881,68,148,173,67
5882,70,141,177,64
5883,67,116,169,52
5884,66,114,168,52
5885,66,125,168,57
5886,70,124,178,56
5887,66,120,168,55
5888,69,125,175,57
5889,69,129,176,59
5890,71,144,181,65
5891,64,135,163,61
5892,71,153,181,69
5893,67,120,170,54
5894,67,119,169,54
5895,67,124,169,56
5896,70,145,179,66
5897,66,123,167,56
5898,67,133,169,60
5899,65,113,164,51
5900,67,124,171,56
5901,68,140,172,64
5902,66,112,167,51
5903,70,136,177,62
5904,70,126,177,57
5905,66,121,168,55
5906,70,134,177,61
5907,69,130,176,59
5908,69,136,176,62
5909,66,116,167,53
5910,66,117,167,53
5911,70,139,177,63
5912,68,119,172,54
5913,66,132,168,60
5914,66,112,167,51
5915,67,142,170,65
5916,69,120,175,54
5917,67,111,169,50
5918,67,127,169,58
5919,68,132,172,60
5920,68,116,173,53
5921,67,117,170,53
5922,69,124,175,56
5923,69,130,175,59
5924,71,137,180,62
5925,70,133,177,60
5926,66,107,168,49
5927,66,110,168,50
5928,70,150,178,68
5929,68,118,172,53
5930,67,126,171,57
5931,68,114,171,52
5932,71,140,181,64
5933,70,152,178,69
5934,68,117,172,53
5935,69,129,176,59
5936,65,121,166,55
5937,66,113,166,51
5938,71,130,180,59
5939,65,112,166,51
5940,65,108,166,49
5941,65,128,165,58
5942,65,119,165,54
5943,66,110,168,50
5944,70,130,178,59
5945,68,135,174,61
5946,67,134,171,61
5947,70,133,177,60
5948,67,111,169,51
5949,69,110,175,50
5950,68,123,172,56
5951,68,131,172,59
5952,67,133,171,60
5953,69,113,174,51
5954,70,124,177,56
5955,67,112,171,51
5956,71,141,180,64
5957,64,113,164,51
5958,67,120,171,54
5959,69,138,174,62
5960,70,128,178,58
5961,71,112,179,51
5962,68,136,172,62
5963,66,124,168,56
5964,67,121,170,55
5965,67,133,171,60
5966,68,132,173,60
5967,66,142,169,64
5968,69,123,175,56
5969,68,130,173,59
5970,68,148,174,67
5971,70,132,177,60
5972,65,119,166,54
5973,68,102,174,46
5974,66,118,168,54
5975,71,137,181,62
5976,66,106,166,48
5977,70,140,179,64
5978,68,123,172,56
5979,69,123,176,56
5980,66,122,167,55
5981,67,117,171,53
5982,68,138,174,63
5983,70,134,177,61
5984,69,118,175,53
5985,69,130,176,59
5986,69,133,174,60
5987,66,113,168,51
5988,72,125,183,57
5989,68,129,174,58
5990,66,100,168,45
5991,65,121,164,55
5992,70,127,178,58
5993,69,144,175,66
5994,69,132,177,60
5995,67,138,171,62
5996,71,141,182,64
5997,68,140,172,63
5998,69,128,175,58
5999,67,119,170,54
6000,68,121,174,55
6001,65,116,165,53
6002,68,140,173,63
6003,68,138,172,63
6004,69,125,176,57
6005,67,127,170,58
6006,67,117,171,53
6007,70,133,178,60
6008,67,124,171,56
6009,64,138,163,63
6010,66,123,169,56
6011,70,122,178,56
6012,67,121,171,55
6013,70,136,178,62
6014,69,124,175,56
6015,67,108,170,49
6016,65,130,165,59
6017,66,110,167,50
6018,65,116,164,53
6019,63,110,159,50
6020,68,124,172,56
6021,68,133,173,60
6022,66,118,167,54
6023,67,120,171,55
6024,68,131,172,59
6025,70,130,178,59
6026,66,122,168,55
6027,68,145,172,66
6028,65,134,165,61
6029,65,105,165,48
6030,65,112,165,51
6031,70,137,178,62
6032,71,143,180,65
6033,67,123,170,56
6034,67,121,171,55
6035,67,136,170,62
6036,68,148,174,67
6037,72,145,184,66
6038,66,139,169,63
6039,67,109,170,49
6040,70,135,178,61
6041,67,114,171,52
6042,67,149,170,67
6043,68,145,174,66
6044,66,115,168,52
6045,67,115,170,52
6046,69,123,175,56
6047,69,134,175,61
6048,66,132,167,60
6049,66,121,166,55
6050,69,146,176,66
6051,70,131,177,59
6052,68,119,172,54
6053,72,134,184,61
6054,67,104,171,47
6055,69,117,175,53
6056,68,146,174,66
6057,68,136,173,62
6058,70,129,177,59
6059,67,150,170,68
6060,70,134,179,61
6061,71,144,182,65
6062,69,132,174,60
6063,70,149,178,68
6064,68,133,173,60
6065,67,134,171,61
6066,71,147,179,67
6067,68,100,172,45
6068,72,140,183,64
6069,67,121,171,55
6070,67,109,170,50
6071,67,136,171,62
6072,66,115,168,52
6073,64,130,163,59
6074,68,132,172,60
6075,71,125,180,57
6076,69,149,174,68
6077,71,129,181,59
6078,65,121,166,55
6079,67,123,171,56
6080,68,117,173,53
6081,67,107,171,49
6082,68,120,172,54
6083,67,134,171,61
6084,70,130,177,59
6085,68,130,172,59
6086,65,107,165,48
6087,69,127,175,57
6088,68,116,172,53
6089,71,130,180,59
6090,68,111,174,50
6091,63,120,161,54
6092,67,113,170,51
6093,66,118,168,54
6094,67,136,169,62
6095,68,111,174,51
6096,68,129,173,59
6097,66,117,167,53
6098,69,129,174,58
6099,67,138,170,63
6100,66,135,169,61
6101,67,113,171,51
6102,67,143,170,65
6103,71,137,180,62
6104,64,114,164,52
6105,66,121,169,55
6106,68,130,173,59
6107,66,134,168,61
6108,69,153,175,70
6109,68,123,172,56
6110,66,105,168,48
6111,72,144,182,65
6112,70,156,177,71
6113,68,112,172,51
6114,65,126,165,57
6115,68,122,174,55
6116,68,130,174,59
6117,68,116,172,53
6118,68,125,172,57
6119,70,166,179,75
6120,66,133,168,60
6121,69,145,174,66
6122,70,136,178,62
6123,69,130,176,59
6124,63,114,161,52
6125,68,118,174,53
6126,66,124,167,56
6127,66,125,168,57
6128,68,131,174,59
6129,68,152,174,69
6130,67,119,171,54
6131,69,112,175,51
6132,66,128,167,58
6133,67,120,171,55
6134,67,105,171,48
6135,72,119,182,54
6136,68,126,174,57
6137,69,131,175,60
6138,70,125,179,57
6139,68,118,174,54
6140,71,130,180,59
6141,68,127,173,57
6142,69,129,176,59
6143,68,135,172,61
6144,69,151,175,68
6145,69,132,175,60
6146,64,131,163,59
6147,69,152,176,69
6148,69,123,175,56
6149,69,127,176,58
6150,73,148,186,67
6151,69,109,175,49
6152,65,128,166,58
6153,68,130,172,59
6154,69,124,174,56
6155,70,159,178,72
6156,70,130,179,59
6157,67,144,171,65
6158,72,137,183,62
6159,65,106,164,48
6160,69,132,175,60
6161,68,130,173,59
6162,73,122,185,55
6163,68,128,173,58
6164,70,131,179,59
6165,65,126,166,57
6166,65,110,166,50
6167,66,110,167,50
6168,65,128,166,58
6169,70,132,178,60
6170,67,128,169,58
6171,69,134,176,61
6172,69,124,175,56
6173,69,122,175,55
6174,67,128,171,58
6175,68,142,174,65
6176,71,135,179,61
6177,68,143,174,65
6178,71,139,180,63
6179,70,121,177,55
6180,66,129,167,59
6181,65,97,166,44
6182,68,128,173,58
6183,70,123,178,56
6184,68,135,173,61
6185,69,117,175,53
6186,67,119,171,54
6187,71,126,179,57
6188,72,158,182,72
6189,67,117,169,53
6190,65,134,165,61
6191,65,129,164,58
6192,69,131,175,59
6193,65,110,166,50
6194,66,110,168,50
6195,70,139,177,63
6196,65,116,165,53
6197,68,123,172,56
6198,69,144,175,65
6199,65,95,165,43
6200,70,131,178,59
6201,68,149,172,67
6202,67,131,171,59
6203,70,151,177,69
6204,71,145,181,66
6205,67,133,171,60
6206,69,121,174,55
6207,70,117,178,53
6208,67,117,169,53
6209,69,131,175,60
6210,69,124,175,56
6211,69,120,175,54
6212,70,127,178,58
6213,70,136,177,62
6214,69,131,176,60
6215,69,132,175,60
6216,70,133,178,60
6217,68,133,174,60
6218,68,121,172,55
6219,70,134,178,61
6220,68,142,173,64
6221,67,133,170,60
6222,67,120,171,54
6223,69,129,176,59
6224,63,122,161,55
6225,69,130,174,59
6226,66,131,168,60
6227,67,137,170,62
6228,67,114,171,51
6229,67,133,169,61
6230,68,133,173,61
6231,66,136,168,61
6232,66,122,167,55
6233,68,125,172,57
6234,69,127,176,57
6235,71,127,181,58
6236,69,126,175,57
6237,69,129,175,59
6238,66,122,167,55
6239,70,143,177,65
6240,69,129,176,59
6241,66,129,168,58
6242,66,109,169,49
6243,65,129,166,59
6244,68,132,174,60
6245,69,126,176,57
6246,69,132,174,60
6247,70,153,177,69
6248,69,136,174,62
6249,70,135,178,61
6250,67,127,171,58
6251,68,151,173,69
6252,68,121,172,55
6253,69,144,174,65
6254,66,148,168,67
6255,66,98,167,45
6256,69,135,174,61
6257,68,91,172,41
6258,68,129,173,59
6259,64,116,162,53
6260,65,129,166,58
6261,71,135,180,61
6262,66,120,168,54
6263,66,132,168,60
6264,70,130,178,59
6265,68,136,174,62
6266,69,119,175,54
6267,69,131,175,60
6268,69,120,176,54
6269,69,143,175,65
6270,69,142,175,64
6271,68,125,172,57
6272,70,146,177,66
6273,67,129,170,59
6274,65,101,165,46
6275,67,131,171,59
6276,63,112,160,51
6277,69,117,175,53
6278,69,132,174,60
6279,66,124,169,56
6280,68,124,174,56
6281,67,124,170,56
6282,70,130,177,59
6283,69,129,175,58
6284,69,131,175,60
6285,67,111,170,50
6286,67,121,171,55
6287,66,128,168,58
6288,70,140,177,64
6289,66,118,168,53
6290,67,139,170,63
6291,70,133,178,60
6292,68,145,173,66
6293,68,141,172,64
6294,71,147,182,67
6295,72,137,182,62
6296,68,137,172,62
6297,68,129,174,59
6298,69,117,175,53
6299,67,141,170,64
6300,65,127,166,57
6301,66,120,166,54
6302,69,112,175,51
6303,68,118,172,53
6304,71,119,181,54
6305,67,132,169,60
